cid,corpname,corpurl,address,category,PR,web,gyoshu,jigyou,torikumi
47,株式会社イーツー・インフォ,company_info.html?id=116,横浜市西区西区花咲町6-145横浜花咲ビル9F,サービス,,http://www.e2info.co.jp,サービス,株式会社イーツー・インフォは、神奈川県横浜市に本社を置くウェブシステム・ソフトウェアの開発、スマートフォンアプリケーション開発、ウェブデザイン制作などをおこなっている企業です。,
48,有限会社ウィステリアグリーン,company_info.html?id=346,横浜市旭区川井本町99-9,造園,,,造園,造園工事 緑地植栽・管理 花壇植栽・管理,
49,株式会社植照,company_info.html?id=224,横浜市緑区長津田町3641-1,その他,,https://www.ueshow.co.jp/,その他,造園業/公共工事や横浜市内の大型マンション年間管理などの設計・施工・緑地管理・樹木医による樹木診断  一般廃棄物管理業/草枝などの樹木リサイクル処理業,地元クリーンデー参加や地元イベントへの七夕用の笹や薪の提供などの、地域交流を図っています。また、小規模工場見学会の個別開催など、今後も小規模見学会実施に対応致します。お気軽にご連絡下さい。 
50,株式会社羽後鍍金,company_info.html?id=5,横浜市金沢区福浦2-10-10,製造,,,製造,電気めっき処理,
51,株式会社ヴェルデ,company_info.html?id=511,横浜市金沢区釜利谷東8-3-21,造園,,https://verde-5888.jimdofree.com,造園,造園業(造園工事、植栽工事、土木工事、樹木管理業務、伐採業務等),
52,株式会社栄港建設,company_info.html?id=132,横浜市港北区北新横浜1-7-8,建設,,http://www.eikou.co.jp,建設,,
53,エイトスタイルズ株式会社,company_info.html?id=436,横浜市神奈川区菅田町2337,その他,,https://eightstyles.co.jp,その他,道路清掃・公園緑地清掃請負維持管理事業,
54,株式会社エコシティサービス,company_info.html?id=366,横浜市都筑区茅ヶ崎中央8-33 サウスコア205,サービス,,http://ecocityservice.com,サービス,地方公共団体の委託による各種受付・窓口等運営業務・各種料金徴収業務,
55,株式会社エス・エイチ インターナショナル トレーディング,company_info.html?id=89,横浜市港北区新横浜1-19-2,サービス,,https://sh.igrp.jp/,サービス,・中古車買い取り、販売業 (一般顧客向け中古車の買い取り、販売業。企業向け中古車リース業。バッテリー、その他車両備品販売業。),
56,株式会社エステック,company_info.html?id=188,神奈川県横浜市南区共進町2-49-1,建設,,http://www.stec-k.jp/,建設,新築マンション建設における給排水設備工事・空調換気設備工事・消火設備工事の施工管理等を業としている,
