cid,datahead,dataurl,creator,contributor
445,   一括ダウンロード       CSV   xlsx   ZIP   ,/dataset/totsuka_download,区政推進課,区政推進課
446,   2021年5月号       TXT   ,/dataset/hodogaya_2105,区政推進課,区政推進課
447,   広報よこはま瀬谷区版2020（令和２）年２月号       TXT   ,/dataset/seya_seya2020_2,区政推進課,区政推進課
448,   広報よこはま瀬谷区版2020（令和２）年５月号       TXT   ,/dataset/seya_seya2020_5,区政推進課,区政推進課
449,   広報よこはま瀬谷区版2020（令和２）年４月号       TXT   ,/dataset/seya_seya2020_4,区政推進課,区政推進課
450,   広報よこはま瀬谷区版2020（令和２）年７月号       TXT   ,/dataset/seya_seya2020_7,区政推進課,区政推進課
451,   広報よこはま瀬谷区版2020（令和２）年９月号       TXT   ,/dataset/seya_seya2020_9,区政推進課,区政推進課
452,   広報よこはま瀬谷区版2020（令和２）年６月号       TXT   ,/dataset/seya_seya2020_6,区政推進課,区政推進課
453,   広報よこはま瀬谷区版2020（令和２）年10月号       TXT   ,/dataset/seya_seya2020_10,区政推進課,区政推進課
454,   広報よこはま瀬谷区版2021（令和３）年３月号       TXT   ,/dataset/seya_seya2021_3,区政推進課,区政推進課
455,   平成26年度交通量調査       PDF   ,/dataset/doro_h26,企画課,企画課
456,   平成27年度交通量調査       PDF   ,/dataset/doro_h27,企画課,企画課
457,   平成28年度交通量調査       PDF   ,/dataset/doro_h28,企画課,企画課
458,   平成30年度交通量調査       PDF   ,/dataset/doro_h30,企画課,企画課
459,   広報よこはま瀬谷区版2021（令和３）年２月号       TXT   ,/dataset/seya_seya2021_2,区政推進課,区政推進課
460,   平成24年度交通量調査       PDF   ,/dataset/doro_h24,企画課,企画課
461,   平成22年度交通量調査       PDF   ,/dataset/doro_h22,企画課,企画課
462,   平成20年度交通量調査       PDF   ,/dataset/doro_h20,企画課,企画課
463,   広報よこはま瀬谷区版2021（令和３）年１月号       TXT   ,/dataset/seya_seya2021_1,区政推進課,区政推進課
464,   広報よこはま瀬谷区版2020（令和２）年12月号       TXT   ,/dataset/seya_seya2020_12,区政推進課,区政推進課
465,   2020（令和２）年分       PDF   ZIP   ,/dataset/tsuzuki_r2tzkoho,区政推進課,区政推進課
466,   広報よこはま瀬谷区版2020（令和２）年11月号       TXT   ,/dataset/seya_seya2020_11,区政推進課,区政推進課
467,   令和２年度市立学校現況       ZIP   ,/dataset/kyoiku_r2genkyo,教育政策推進課,教育政策推進課
